alpha,gamma,c,mean_energy
0.17777777777777778,0.5666666666666667,0.04111111111111111,-2.78313464080799
0.17777777777777778,0.5666666666666667,0.04888888888888889,-2.5826245014796085
0.17777777777777778,0.5666666666666667,0.05666666666666667,-2.04945561791414
0.17777777777777778,0.5666666666666667,0.06444444444444444,-2.530577920929889
0.17777777777777778,0.5666666666666667,0.07222222222222223,-2.75376183693741
0.17777777777777778,0.5666666666666667,0.08,-1.9294125748753264
0.17777777777777778,0.6444444444444445,0.01,-2.703991313660236
0.17777777777777778,0.6444444444444445,0.017777777777777778,-2.2877911812334775
0.17777777777777778,0.6444444444444445,0.025555555555555557,-2.4275008786064123
0.17777777777777778,0.6444444444444445,0.03333333333333333,-2.7131795900002897
0.17777777777777778,0.6444444444444445,0.04111111111111111,-2.837206585911486
0.17777777777777778,0.6444444444444445,0.04888888888888889,-2.140623098490803
0.17777777777777778,0.6444444444444445,0.05666666666666667,-2.5170189362793742
0.17777777777777778,0.6444444444444445,0.06444444444444444,-2.331238228520267
0.17777777777777778,0.6444444444444445,0.07222222222222223,-2.209828845820721
0.17777777777777778,0.6444444444444445,0.08,-2.4736666700141225
0.17777777777777778,0.7222222222222222,0.01,-2.626560647774849
0.17777777777777778,0.7222222222222222,0.017777777777777778,-2.440604256112698
0.17777777777777778,0.7222222222222222,0.025555555555555557,-2.320267792968514
0.17777777777777778,0.7222222222222222,0.03333333333333333,-2.4250533625009973
0.17777777777777778,0.7222222222222222,0.04111111111111111,-2.232168231310439
0.17777777777777778,0.7222222222222222,0.04888888888888889,-2.185363407643103
0.17777777777777778,0.7222222222222222,0.05666666666666667,-2.300847367532137
0.17777777777777778,0.7222222222222222,0.06444444444444444,-2.3951509865824456
0.17777777777777778,0.7222222222222222,0.07222222222222223,-2.5888526337889504
0.17777777777777778,0.7222222222222222,0.08,-2.657943124757646
0.17777777777777778,0.8,0.01,-2.4711809402740497
0.17777777777777778,0.8,0.017777777777777778,-2.2376149608130254
0.17777777777777778,0.8,0.025555555555555557,-2.5228007283312293
0.17777777777777778,0.8,0.03333333333333333,-2.610272168036394
0.17777777777777778,0.8,0.04111111111111111,-2.454654061996293
0.17777777777777778,0.8,0.04888888888888889,-2.322647315966201
0.17777777777777778,0.8,0.05666666666666667,-2.2628408119145753
0.17777777777777778,0.8,0.06444444444444444,-2.540055927230944
0.17777777777777778,0.8,0.07222222222222223,-2.1927527951337242
0.17777777777777778,0.8,0.08,-2.290736330227454
0.25555555555555554,0.1,0.01,-2.826850882972141
0.25555555555555554,0.1,0.017777777777777778,-2.227458475292815
0.25555555555555554,0.1,0.025555555555555557,-2.140747880097472
0.25555555555555554,0.1,0.03333333333333333,-2.406082559870511
0.25555555555555554,0.1,0.04111111111111111,-2.342541791512349
0.25555555555555554,0.1,0.04888888888888889,-2.564324416432451
0.25555555555555554,0.1,0.05666666666666667,-2.5015665024844123
0.25555555555555554,0.1,0.06444444444444444,-2.277805865903569
0.25555555555555554,0.1,0.07222222222222223,-2.537212413708923
0.25555555555555554,0.1,0.08,-2.5109858177246154
0.25555555555555554,0.17777777777777778,0.01,-2.2923216241156363
0.25555555555555554,0.17777777777777778,0.017777777777777778,-2.3977734700557902
0.25555555555555554,0.17777777777777778,0.025555555555555557,-2.740454655619979
0.25555555555555554,0.17777777777777778,0.03333333333333333,-2.3852517675335796
0.25555555555555554,0.17777777777777778,0.04111111111111111,-2.3862163159352683
0.25555555555555554,0.17777777777777778,0.04888888888888889,-2.549159408802075
0.25555555555555554,0.17777777777777778,0.05666666666666667,-2.102000760990655
0.25555555555555554,0.17777777777777778,0.06444444444444444,-2.438108449417094
0.25555555555555554,0.17777777777777778,0.07222222222222223,-2.2802220615904827
0.25555555555555554,0.17777777777777778,0.08,-2.1261335461846294
0.25555555555555554,0.25555555555555554,0.01,-2.268740816385251
0.25555555555555554,0.25555555555555554,0.017777777777777778,-2.416869481634783
0.25555555555555554,0.25555555555555554,0.025555555555555557,-2.6517204809238524
0.25555555555555554,0.25555555555555554,0.03333333333333333,-2.54882189927597
0.25555555555555554,0.25555555555555554,0.04111111111111111,-2.2207545974230514
0.25555555555555554,0.25555555555555554,0.04888888888888889,-2.3911195910259075
0.25555555555555554,0.25555555555555554,0.05666666666666667,-2.5341861840743554
0.25555555555555554,0.25555555555555554,0.06444444444444444,-2.75207097901161
0.25555555555555554,0.25555555555555554,0.07222222222222223,-2.320442971249823
0.25555555555555554,0.25555555555555554,0.08,-2.604968511084438
0.25555555555555554,0.33333333333333337,0.01,-2.504860763593732
0.25555555555555554,0.33333333333333337,0.017777777777777778,-1.788753120473968
0.25555555555555554,0.33333333333333337,0.025555555555555557,-2.8248521375234596
0.25555555555555554,0.33333333333333337,0.03333333333333333,-2.799158811526983
0.25555555555555554,0.33333333333333337,0.04111111111111111,-2.275185845667436
0.25555555555555554,0.33333333333333337,0.04888888888888889,-2.2181695937454813
0.25555555555555554,0.33333333333333337,0.05666666666666667,-2.6630328166405968
0.25555555555555554,0.33333333333333337,0.06444444444444444,-2.3140242373915614
0.25555555555555554,0.33333333333333337,0.07222222222222223,-2.4679987803840655
0.25555555555555554,0.33333333333333337,0.08,-2.5755521383999964
0.25555555555555554,0.4111111111111111,0.01,-2.515796853627937
0.25555555555555554,0.4111111111111111,0.017777777777777778,-2.2809742219112374
0.25555555555555554,0.4111111111111111,0.025555555555555557,-2.510474348339809
