problem,num_qubits,density,seed,fraction,gs,fes,gap
maxcut,6,0.8,777,0.2,-5.8288,-4.4422,1.3866
maxcut,6,0.8,777,0.3,-5.7709,-4.6874,1.0835
maxcut,6,0.8,777,0.4,-5.7405,-4.9563,0.7842
maxcut,6,0.8,777,0.5,-5.7532,-5.2589,0.4943
maxcut,6,0.8,777,0.6,-5.8451,-5.6119,0.2332
maxcut,6,0.8,777,0.7,-6.0996,-6.042,0.0576
maxcut,6,0.8,777,0.8,-6.5858,-6.5813,0.0045
maxcut,6,0.8,777,0.9,-7.2408,-7.2407,0.0001
maxcut,6,0.8,777,1.0,-8.0,-7.0,1.0
maxcut,6,0.9,777,0.0,-6.0,-4.0,2.0
maxcut,6,0.9,777,0.1,-5.9573,-4.2811,1.6762
maxcut,6,0.9,777,0.2,-5.9316,-4.5789,1.3527
maxcut,6,0.9,777,0.3,-5.9283,-4.8989,1.0294
maxcut,6,0.9,777,0.4,-5.9581,-5.2499,0.7082
maxcut,6,0.9,777,0.5,-6.0464,-5.6463,0.4001
maxcut,6,0.9,777,0.6,-6.2586,-6.1105,0.1481
maxcut,6,0.9,777,0.7,-6.6973,-6.6718,0.0255
maxcut,6,0.9,777,0.8,-7.3506,-7.349,0.0016
maxcut,6,0.9,777,0.9,-8.1333,-7.2278,0.9055
maxcut,6,0.9,777,1.0,-9.0,-8.0,1.0
maxcut,6,1.0,777,0.0,-6.0,-4.0,2.0
maxcut,6,1.0,777,0.1,-6.1594,-4.4039,1.7555
maxcut,6,1.0,777,0.2,-6.3376,-4.8166,1.521
maxcut,6,1.0,777,0.3,-6.5351,-5.2395,1.2956
maxcut,6,1.0,777,0.4,-6.7527,-5.6744,1.0783
maxcut,6,1.0,777,0.5,-6.9921,-6.1237,0.8684
maxcut,6,1.0,777,0.6,-7.2564,-6.5907,0.6657
maxcut,6,1.0,777,0.7,-7.5517,-7.0818,0.4699
maxcut,6,1.0,777,0.8,-7.8916,-7.6113,0.2803
maxcut,6,1.0,777,0.9,-8.3195,-8.219,0.1005
maxcut,6,1.0,777,1.0,-9.0,-8.0,1.0
maxcut,7,0.5,777,0.0,-7.0,-5.0,2.0
maxcut,7,0.5,777,0.1,-6.8067,-5.1047,1.702
maxcut,7,0.5,777,0.2,-6.6292,-5.2203,1.4089
maxcut,7,0.5,777,0.3,-6.4719,-5.3504,1.1215
maxcut,7,0.5,777,0.4,-6.3419,-5.5002,0.8417
maxcut,7,0.5,777,0.5,-6.2511,-5.6786,0.5725
maxcut,7,0.5,777,0.6,-6.2222,-5.9024,0.3198
maxcut,7,0.5,777,0.7,-6.3111,-6.2052,0.1059
maxcut,7,0.5,777,0.8,-6.6524,-6.6447,0.0077
maxcut,7,0.5,777,0.9,-7.254,-6.5764,0.6776
maxcut,7,0.5,777,1.0,-8.0,-7.0,1.0
maxcut,7,0.6,777,0.0,-7.0,-5.0,2.0
maxcut,7,0.6,777,0.1,-6.8067,-5.1047,1.702
maxcut,7,0.6,777,0.2,-6.6292,-5.2203,1.4089
maxcut,7,0.6,777,0.3,-6.4719,-5.3504,1.1215
maxcut,7,0.6,777,0.4,-6.3419,-5.5002,0.8417
maxcut,7,0.6,777,0.5,-6.2511,-5.6786,0.5725
maxcut,7,0.6,777,0.6,-6.2222,-5.9024,0.3198
maxcut,7,0.6,777,0.7,-6.3111,-6.2052,0.1059
maxcut,7,0.6,777,0.8,-6.6524,-6.6447,0.0077
maxcut,7,0.6,777,0.9,-7.254,-6.5764,0.6776
maxcut,7,0.6,777,1.0,-8.0,-7.0,1.0
maxcut,7,0.7,777,0.0,-7.0,-5.0,2.0
maxcut,7,0.7,777,0.1,-6.9585,-5.2487,1.7098
maxcut,7,0.7,777,0.2,-6.9362,-5.5103,1.4259
maxcut,7,0.7,777,0.3,-6.9369,-5.7878,1.1491
maxcut,7,0.7,777,0.4,-6.9667,-6.0852,0.8815
maxcut,7,0.7,777,0.5,-7.0352,-6.4086,0.6266
maxcut,7,0.7,777,0.6,-7.1585,-6.7671,0.3914
maxcut,7,0.7,777,0.7,-7.367,-7.1761,0.1909
maxcut,7,0.7,777,0.8,-7.7167,-7.6614,0.0553
maxcut,7,0.7,777,0.9,-8.2669,-8.2616,0.0053
maxcut,7,0.7,777,1.0,-9.0,-8.0,1.0
maxcut,7,0.8,777,0.0,-7.0,-5.0,2.0
maxcut,7,0.8,777,0.1,-7.0597,-5.3649,1.6948
maxcut,7,0.8,777,0.2,-7.1403,-5.7465,1.3938
maxcut,7,0.8,777,0.3,-7.2454,-6.1492,1.0962
maxcut,7,0.8,777,0.4,-7.3813,-6.5796,0.8017
maxcut,7,0.8,777,0.5,-7.5612,-7.0493,0.5119
maxcut,7,0.8,777,0.6,-7.8203,-7.5796,0.2407
maxcut,7,0.8,777,0.7,-8.2619,-8.2114,0.0505
maxcut,7,0.8,777,0.8,-9.0004,-8.9981,0.0023
maxcut,7,0.8,777,0.9,-9.943,-9.1697,0.7733
maxcut,7,0.8,777,1.0,-11.0,-10.0,1.0
maxcut,7,0.9,777,0.0,-7.0,-5.0,2.0
maxcut,7,0.9,777,0.1,-7.1103,-5.4074,1.7029
