problem,num_qubits,geometric_index,seed,fraction,gs,fes,gap
track reconstruction,16,28,12345,0.0,-16.0,-14.0,2.0
track reconstruction,16,28,12345,0.1,-14.4349,-12.7117,1.7232
track reconstruction,16,28,12345,0.2,-12.9575,-11.557,1.4005
track reconstruction,16,28,12345,0.3,-11.6102,-10.6095,1.0007
track reconstruction,16,28,12345,0.4,-10.4853,-9.9447,0.5406
track reconstruction,16,28,12345,0.5,-9.9483,-9.6804,0.2679
track reconstruction,16,28,12345,0.6,-10.4303,-10.1321,0.2982
track reconstruction,16,28,12345,0.7,-11.313,-10.9661,0.3469
track reconstruction,16,28,12345,0.8,-12.339,-11.939,0.4
track reconstruction,16,28,12345,0.9,-13.4361,-13.2361,0.2
track reconstruction,16,28,12345,1.0,-14.5769,-14.0599,0.517
track reconstruction,17,29,12345,0.0,-17.0,-15.0,2.0
track reconstruction,17,29,12345,0.1,-15.3101,-13.6321,1.678
track reconstruction,17,29,12345,0.2,-13.6455,-12.2849,1.3606
track reconstruction,17,29,12345,0.3,-12.0184,-10.9668,1.0516
track reconstruction,17,29,12345,0.4,-10.453,-9.6923,0.7607
track reconstruction,17,29,12345,0.5,-9.0087,-8.4847,0.524
track reconstruction,17,29,12345,0.6,-7.8338,-7.3921,0.4417
track reconstruction,17,29,12345,0.7,-7.1834,-6.9304,0.253
track reconstruction,17,29,12345,0.8,-7.2165,-7.0242,0.1923
track reconstruction,17,29,12345,0.9,-7.4833,-7.2833,0.2
track reconstruction,17,29,12345,1.0,-7.8368,-7.603,0.2338
track reconstruction,8,30,12345,0.0,-8.0,-6.0,2.0
track reconstruction,8,30,12345,0.1,-7.2161,-5.488,1.7281
track reconstruction,8,30,12345,0.2,-6.4723,-5.0497,1.4226
track reconstruction,8,30,12345,0.3,-5.7898,-4.7239,1.0659
track reconstruction,8,30,12345,0.4,-5.2219,-4.5837,0.6382
track reconstruction,8,30,12345,0.5,-4.946,-4.6372,0.3088
track reconstruction,8,30,12345,0.6,-5.2305,-4.8497,0.3808
track reconstruction,8,30,12345,0.7,-5.8093,-5.453,0.3563
track reconstruction,8,30,12345,0.8,-6.509,-6.1223,0.3867
track reconstruction,8,30,12345,0.9,-7.2676,-6.835,0.4326
track reconstruction,8,30,12345,1.0,-8.0606,-7.58,0.4806
track reconstruction,12,31,12345,0.0,-12.0,-10.0,2.0
track reconstruction,12,31,12345,0.1,-10.8347,-9.2114,1.6233
track reconstruction,12,31,12345,0.2,-9.7612,-8.4965,1.2647
track reconstruction,12,31,12345,0.3,-8.8435,-7.8424,1.0011
track reconstruction,12,31,12345,0.4,-8.1759,-7.3218,0.8541
track reconstruction,12,31,12345,0.5,-7.7855,-7.2536,0.5319
track reconstruction,12,31,12345,0.6,-7.6616,-7.4259,0.2357
track reconstruction,12,31,12345,0.7,-7.9109,-7.817,0.0939
track reconstruction,12,31,12345,0.8,-8.5185,-8.3543,0.1642
track reconstruction,12,31,12345,0.9,-9.2414,-9.0414,0.2
track reconstruction,12,31,12345,1.0,-10.0221,-9.7921,0.23
track reconstruction,18,33,12345,0.0,-18.0,-16.0,2.0
track reconstruction,18,33,12345,0.1,-16.2101,-14.4746,1.7355
track reconstruction,18,33,12345,0.2,-14.4454,-12.9743,1.4711
track reconstruction,18,33,12345,0.3,-12.7171,-11.5107,1.2064
track reconstruction,18,33,12345,0.4,-11.0478,-10.1141,0.9337
track reconstruction,18,33,12345,0.5,-9.4951,-8.8887,0.6064
track reconstruction,18,33,12345,0.6,-8.333,-8.099,0.234
track reconstruction,18,33,12345,0.7,-8.084,-7.8542,0.2298
track reconstruction,18,33,12345,0.8,-8.1319,-7.8562,0.2757
track reconstruction,18,33,12345,0.9,-8.3111,-8.1111,0.2
track reconstruction,18,33,12345,1.0,-8.6138,-8.269,0.3448
track reconstruction,13,34,12345,0.0,-13.0,-11.0,2.0
track reconstruction,13,34,12345,0.1,-11.7097,-9.9864,1.7233
track reconstruction,13,34,12345,0.2,-10.4432,-8.9974,1.4458
track reconstruction,13,34,12345,0.3,-9.2105,-8.043,1.1675
track reconstruction,13,34,12345,0.4,-8.0304,-7.1421,0.8883
track reconstruction,13,34,12345,0.5,-6.9436,-6.3426,0.601
track reconstruction,13,34,12345,0.6,-6.071,-5.8286,0.2424
track reconstruction,13,34,12345,0.7,-5.8726,-5.7978,0.0748
track reconstruction,13,34,12345,0.8,-6.1961,-6.1497,0.0464
track reconstruction,13,34,12345,0.9,-6.6279,-6.5849,0.043
track reconstruction,13,34,12345,1.0,-7.118,-7.0716,0.0464
track reconstruction,12,35,12345,0.0,-12.0,-10.0,2.0
track reconstruction,12,35,12345,0.1,-10.8009,-9.0279,1.773
track reconstruction,12,35,12345,0.2,-9.6041,-8.0583,1.5458
track reconstruction,12,35,12345,0.3,-8.4106,-7.0923,1.3183
track reconstruction,12,35,12345,0.4,-7.2219,-6.1322,1.0897
track reconstruction,12,35,12345,0.5,-6.0411,-5.1818,0.8593
track reconstruction,12,35,12345,0.6,-4.8739,-4.2482,0.6257
track reconstruction,12,35,12345,0.7,-3.7341,-3.3431,0.391
track reconstruction,12,35,12345,0.8,-2.6667,-2.4777,0.189
track reconstruction,12,35,12345,0.9,-1.8135,-1.6582,0.1553
track reconstruction,12,35,12345,1.0,-1.1674,-0.9929,0.1745
track reconstruction,7,36,12345,0.0,-7.0,-5.0,2.0
track reconstruction,7,36,12345,0.1,-6.3073,-4.6079,1.6994
track reconstruction,7,36,12345,0.2,-5.633,-4.2242,1.4088
track reconstruction,7,36,12345,0.3,-4.9856,-3.8502,1.1354
track reconstruction,7,36,12345,0.4,-4.381,-3.4875,0.8935
track reconstruction,7,36,12345,0.5,-3.8462,-3.1454,0.7008
track reconstruction,7,36,12345,0.6,-3.4143,-2.8689,0.5454
track reconstruction,7,36,12345,0.7,-3.0973,-2.7069,0.3904
track reconstruction,7,36,12345,0.8,-2.8772,-2.6396,0.2376
track reconstruction,7,36,12345,0.9,-2.7307,-2.6392,0.0915
track reconstruction,7,36,12345,1.0,-2.688,-2.6699,0.0181
track reconstruction,10,38,12345,0.0,-10.0,-8.0,2.0
track reconstruction,10,38,12345,0.1,-9.0206,-7.2806,1.74
track reconstruction,10,38,12345,0.2,-8.0924,-6.6328,1.4596
