p,qaoa_energy,beta01,gamma01,num_qubits,min_energy,opt_var_assignment,beta02,gamma02,beta03,gamma03,beta04,gamma04,beta05,gamma05,beta06,gamma06,beta07,gamma07,beta08,gamma08,beta09,gamma09,beta10,gamma10,beta11,gamma11,beta12,gamma12,beta13,gamma13,beta14,gamma14,beta15,gamma15,beta16,gamma16,beta17,gamma17,beta18,gamma18,beta19,gamma19,beta20,gamma20,beta21,gamma21,beta22,gamma22,beta23,gamma23,beta24,gamma24,beta25,gamma25,beta26,gamma26,beta27,gamma27,beta28,gamma28,beta29,gamma29,beta30,gamma30,beta31,gamma31,beta32,gamma32,beta33,gamma33,beta34,gamma34,beta35,gamma35,beta36,gamma36,beta37,gamma37,beta38,gamma38,beta39,gamma39,beta40,gamma40,beta41,gamma41,beta42,gamma42,beta43,gamma43,beta44,gamma44,beta45,gamma45,beta46,gamma46,beta47,gamma47,beta48,gamma48,beta49,gamma49,beta50,gamma50
32,-0.9882848311579568,-1.5517648242364341,0.7210519249821549,11,-2.0088944195653555,01101101101,-0.9034053130138678,-0.6835412471967046,-0.1943993871466201,-0.6821884784800469,-0.11417235418379783,-0.5543372261758964,-0.04195273977819644,-0.23755325719581927,0.05400437424968228,-0.6007043784025876,-0.0807751790605428,-0.09532661165557964,0.19174987820035125,-0.2427223430633989,-0.1362266191291871,-0.1986606050879659,-0.04987269999892333,-0.4610736063399511,-0.11421115068779962,-0.1952279385387523,0.33737195871288744,-0.6924455279919502,-0.369805948055157,0.048573931005204955,0.05728574124605444,0.08590833773596604,-0.06386217207795192,-0.2292762503259326,-0.04206472142183213,0.925471803977116,0.05522710252696523,-0.17703781251165357,0.06698257429316974,-0.05655823285641802,0.8686523477639065,0.8763461499287045,-0.7525623201109761,0.12287193047468531,0.07502462888419217,-0.3902770072925788,-0.1507414832615972,0.03551480885727001,0.17019429681536313,-0.287062419982734,0.11414186210353058,0.06898702422592497,-0.24393507481114057,0.060682024336410255,0.01436096364217164,-0.37892402662814256,-0.045657864469864556,0.0695954066961008,-0.06903918714455902,0.9570941882324587,-0.008806211636875337,-0.05401648067529191,-0.03065051025287951,-0.11243483204545647,0.012569749015441774,-0.14310309685708228,0.0024991516379526692,-0.17101287779451246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,-0.9951665034115686,-1.5519724512747286,0.7176186040973335,11,-2.0088944195653555,01101101101,-0.9039749327087391,-0.6811184047448303,-0.19306625093437296,-0.6561248780604271,-0.11245357941134525,-0.5538435534017727,-0.04040680866663641,-0.22061838636216285,0.062007666982909326,-0.5849802927779005,-0.07926953173194587,-0.1091843317809761,0.1930126591407305,-0.22666210474412327,-0.1343861681120242,-0.21192506936407057,-0.05154140457632818,-0.46755285924347356,-0.1106155437479487,-0.18028408851398062,0.34147813490437573,-0.6879443945761852,-0.3634116616927862,0.051993390353338415,0.05225811443244752,0.09858765915261448,-0.06725928163555137,-0.24418897814836873,-0.048840788352177415,0.9463038614464288,0.06359042765492084,-0.19529236608064554,0.070255464184937,-0.05633077037401934,0.8732602130804656,0.8743594802462987,-0.7526172866583276,0.13026000385666148,0.07222904170646342,-0.39385088283012937,-0.15831809989551,0.040075567363199595,0.1700474572406733,-0.28315037659992864,0.1373082436798357,0.043466091464798795,-0.2754934165717284,0.08094364422719205,0.01189745979654352,-0.37746447551188295,-0.05118798423954471,0.07095378053327728,-0.07635936852775914,0.9703081936663459,-0.006383430629022169,-0.03968319565339399,-0.05499679379759717,-0.11709194691077764,0.03725001536904653,-0.1603666721776983,0.09365979024418676,-0.1717122873994028,-0.08529067775383274,-0.019086273575439034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,-1.006298513276774,-1.5524103780520258,0.7134001689197893,11,-2.0088944195653555,01101101101,-0.9055080064534603,-0.676224095801478,-0.18892084255343292,-0.6179664328916704,-0.11158138819722418,-0.5419214567661667,-0.03579932670662319,-0.21115566205268385,0.06522788058188561,-0.45084913088533246,-0.0758400440666721,-0.12059877121479519,0.19649244031969784,-0.3024936251941594,-0.12938829516950068,-0.21904259244613933,-0.047808822629063545,-0.46348252879608026,-0.10944725161488117,-0.18947273846401605,0.3470781344742269,-0.6846965798360235,-0.3589896171039762,0.047710500021808405,0.052328634605598424,0.08493648718465842,-0.06476453641854953,-0.22949724463154797,-0.043287282970830954,1.0611567868100766,0.060749762354508165,-0.28415889074647394,0.0700943946920167,-0.05551970594019372,0.9626166400224504,0.8705608144421433,-0.836777724911021,0.14021769831559874,0.1444378494695388,-0.39807283612412847,-0.2236558011664088,0.04712549423217029,0.16113072516998125,-0.2948410139266036,0.14202028451746573,0.044437638281113356,-0.2838136005473483,0.08694270543670085,0.001697303714286257,-0.3947972225358722,-0.05565648220808069,0.06751872424791425,-0.07865717212390037,0.9784072492297644,0.0012042408145840316,-0.008457488268736862,-0.06208863600878206,-0.10618621371242634,0.0323340667251305,-0.17314673844900733,0.10377760496691418,-0.1954223409921371,-0.08191508421208532,-0.011873812287884217,-0.012605114630507544,-0.12412540531664279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,-1.0099019263229474,-1.5529179708314287,0.7123220355865281,11,-2.0088944195653555,01101101101,-0.9073308285659721,-0.6739007528130653,-0.18704759787867362,-0.6084473964790029,-0.11228272718533971,-0.539168225578579,-0.03487194199706133,-0.20577265426329236,0.07131336727939888,-0.4528030013045665,-0.0725308126602227,-0.11923204811146718,0.2014377877930415,-0.29130976390460217,-0.13017317591298888,-0.21966511066797292,-0.045922819793315924,-0.4654292761965237,-0.11066660447282305,-0.19024035143672013,0.34921071458538105,-0.6836804370508165,-0.3563138573131462,0.0464068375962947,0.05260800024130997,0.08273843619305393,-0.06492651378832563,-0.228495144969009,-0.04028275024633131,1.0632527025623828,0.0650950912479579,-0.28151649307262233,0.06767677627578779,-0.05408676837409456,0.959211766043156,0.8700720306520363,-0.8436892210478711,0.14552050014974532,0.1444106729374486,-0.3967840965265556,-0.2321577376389713,0.049045783458871194,0.15462184858993847,-0.2951203447628877,0.14698432551839252,0.041437963335925074,-0.28867268426626785,0.08341111786214309,0.006343151909044991,-0.39688394232168567,-0.058771995833595346,0.07025018503131554,-0.07804357239308378,0.9739174963188897,0.0011752351153033387,-0.03786069851466533,-0.06561287346149303,-0.07814650626278964,0.03505713483625896,-0.183935932908886,0.10715752186030084,-0.19269183467899517,-0.07730740244486083,-0.00895265715769101,-0.012371488537035458,-0.24074686326968114,-0.0004393249161683109,0.03744488799636349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,-1.0126846047607883,-1.5547702968028174,0.7096599617807834,11,-2.0088944195653555,01101101101,-0.907922813428604,-0.6726994220204032,-0.18491844062112264,-0.6042641085450446,-0.11034270396999338,-0.5349013311538746,-0.03079577080078991,-0.20506759491980942,0.07648956940453619,-0.45130908085750393,-0.06697677608636997,-0.11462882525145482,0.20522068242265293,-0.2760583434927958,-0.13303164683403862,-0.2196859730027926,-0.045400916209297655,-0.46109326437677584,-0.1109894691756639,-0.1915899809158476,0.3529752522510363,-0.6814080501623732,-0.3549169521005596,0.044381698886776726,0.05365992579866603,0.08289893226540718,-0.06411616496328373,-0.2270101825572221,-0.03748050451520075,1.0677085887397195,0.06422569660505043,-0.2703282863297009,0.06983696658360151,-0.06899200504334445,0.9587880045672716,0.8678689910935776,-0.8479611137878731,0.15075944995124232,0.14475322614925093,-0.3918307830131019,-0.2336991758386618,0.04923648120726857,0.15174148374658372,-0.29274233300116614,0.1399940717177085,0.0380416042877829,-0.2842187529504131,0.0809117529681047,0.007095227260299467,-0.39695537431039984,-0.06273748924067779,0.07221687591009132,-0.057945399347334045,0.9707965771371767,-0.02184605324128379,-0.036911356209823526,-0.07650640456931875,-0.06687298242675323,0.04385937418295743,-0.19624371141141478,0.1886019224140273,-0.18775155270483723,-0.15909184984747257,-0.009270624746414964,-0.0024216386837352913,-0.23942676557835044,-0.01013680926049495,0.024901329624796555,1.5483483378482702e-05,0.018269273927664413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,-1.016819369074752,-1.5540446653072504,0.7107247158191167,11,-2.0088944195653555,01101101101,-0.9090617033105612,-0.6710766584726179,-0.18263117131651682,-0.5961861111788076,-0.11211327452843498,-0.5335399572171239,-0.03204028642103672,-0.2005413101334169,0.07536246894858431,-0.4541947187602587,-0.05752580570910142,-0.12006834570459912,0.21166707518374542,-0.2720839039753258,-0.13770624587834335,-0.21740224742956996,-0.0428345011141226,-0.45892629722945666,-0.11206720271284297,-0.18364559005457454,0.3510283914212162,-0.6839048468876455,-0.3529124647567489,0.04392299019198606,0.05545162951366449,0.08227094149315387,-0.06368658167690859,-0.22676915629818495,-0.037572444517102364,1.070575599815162,0.06754748055352101,-0.26399752684290834,0.07006758177344839,-0.0732439328128712,0.9581982319642325,0.8622545702138626,-0.8593428032976291,0.15636459710182582,0.14962785839326376,-0.38862483364456013,-0.23588164273192488,0.0517610382807849,0.14886932033194267,-0.29312941130184195,0.13591248322591876,0.03464252373788286,-0.2857697420971595,0.07625177778187629,0.013555097524343635,-0.39055645095480807,-0.06515008100454425,0.07580494308357517,-0.029971430379050448,0.9671943264469379,-0.04958729851484617,-0.03936859261197865,-0.09301628630153025,-0.07298826284969882,0.06022595632370018,-0.1959999723756392,0.19287931751748513,-0.19119883018698047,-0.1588408065913438,-0.009793531898516568,-0.03763731394186551,-0.24116293859328178,0.01810473976122917,0.022048129086117297,0.01272445369332804,1.023233563564277,-0.005301279159891636,-0.1309013047156096,,,,,,,,,,,,,,,,,,,,,,,,,,
38,-1.021942741648819,-1.5563476999738068,0.7093948203574904,11,-2.0088944195653555,01101101101,-0.9122014546021919,-0.6663234684651491,-0.17895881862158222,-0.5893674560776102,-0.11547677603426647,-0.5348561657838418,-0.02962243340193214,-0.18596118131416958,0.0747029266883065,-0.4274570510043861,-0.052643336372305116,-0.12626996268867133,0.21704113988148638,-0.2675902590767249,-0.13800040116960943,-0.21693574842691762,-0.04086664262514308,-0.46459837590269254,-0.1171759564480431,-0.17905168200103672,0.3529836998141428,-0.6898908127470539,-0.3417822872504481,0.04534800347531859,0.04488273158221126,0.08320949277267123,-0.06725525659376085,-0.22848042656442114,-0.03893180144567984,1.0780958241512824,0.06881872414157252,-0.2610276352610415,0.07341125125561011,-0.07817402514117633,0.9597405928735382,0.8632894825971887,-0.8632316321464005,0.16210429237742927,0.1510514984330893,-0.3926541049663507,-0.23962378237190307,0.05697342418377147,0.14556265021296846,-0.24864290515067416,0.13788036119878244,0.0024374811169431865,-0.28896260434117294,0.07213884956458476,0.040316697274836014,-0.3984582473287507,-0.08245579032503003,0.08890032909107272,-0.010258931773685982,0.9662494181945659,-0.07175680672087162,-0.037325840504481594,-0.0977720032123759,-0.0750265271970801,0.06430534614122668,-0.20550028833025957,0.214889896124421,-0.14827335074057577,-0.17853207596748472,-0.012538779126687178,-0.039063978316637146,-0.2362577556108695,0.018395637548697264,0.02550337885740443,0.05555656786813057,1.024097853128854,-0.04052182770755518,-0.11983040091817584,-0.0016144907724098263,-0.13122944085556243,,,,,,,,,,,,,,,,,,,,,,,,
39,-1.0249575363559078,-1.5571048537082304,0.7075592493468454,11,-2.0088944195653555,01101101101,-0.9146615377844015,-0.6645971859120515,-0.1810148980929425,-0.5806655725910572,-0.12624692171835686,-0.5379413073762076,-0.022597466652241466,-0.1896726229316618,0.06759703867730754,-0.4340015800122212,-0.048116102019521725,-0.12590995123252738,0.21717421317907223,-0.2710781196014352,-0.1414465003909651,-0.2225603848854102,-0.0370792613145667,-0.46049463871016805,-0.12205618054911403,-0.18015998515713993,0.35644263547775984,-0.6886014741247035,-0.3438187618044864,0.04360519842043352,0.045341507838863634,0.09392968996149229,-0.06787320056261804,-0.2341692895987255,-0.036235950153202634,1.07905049733422,0.0709639430798949,-0.26546468483556157,0.06986767530843395,-0.0828386758457741,0.9711567485701297,0.8670924616875089,-0.8736111769574726,0.16507953714723508,0.15181197736277371,-0.3887203481174013,-0.24054212604847464,0.061530905671659086,0.1229353228253535,-0.24990618341760823,0.15803362212441915,-0.004692367143360566,-0.288807252012222,0.07107981954438067,0.0481478970638814,-0.4030709050937238,-0.09115234097024215,0.09566004081016823,0.02247948852475808,0.9670608465866242,-0.10619416135991429,-0.030344896364124088,-0.11333026509493963,-0.07232353026047826,0.07739394645301081,-0.20336623801656434,0.21491678375125858,-0.14664434114690383,-0.178236745433396,-0.012943874611770254,-0.04282901458786252,-0.24534770587270718,0.02492456421675552,0.05744262965543832,0.05759966954921985,1.0361658747222928,-0.033472367098884306,-0.1319368173029346,0.0023522987193973,-0.26408558616898387,-0.0009361621035645623,-0.12238057412993833,,,,,,,,,,,,,,,,,,,,,,
40,-1.026891606503229,-1.5571415274885851,0.7087533154243163,11,-2.0088944195653555,01101101101,-0.9155718345411565,-0.6642841010524528,-0.1810824848288214,-0.5807170952536633,-0.12843013708877005,-0.5399487895415156,-0.02258631010069876,-0.19398418364267717,0.06939629621221105,-0.4151778044760898,-0.05044300587834161,-0.12705413588103526,0.22192288914417635,-0.28554367489551447,-0.14225864144056707,-0.22140445554230512,-0.0384671318562759,-0.4597199311450683,-0.12298816621236988,-0.1797760380626698,0.3576250671786908,-0.6878628812087274,-0.3423408233118666,0.04395042716313187,0.04439711392702215,0.09696832398334553,-0.07109785005378395,-0.23643954592115213,-0.034648958655617665,1.0786568272775432,0.07247830970973611,-0.2638664167433874,0.07034922807634555,-0.08337834497279697,0.9715988530418798,0.868259475581627,-0.8754002219064834,0.1695426485035396,0.15416606207266528,-0.38975387032091735,-0.24292815459317227,0.06575314371975458,0.12360516925866816,-0.2529796599815081,0.1586333929980731,-0.0078103053702336025,-0.29018468321580493,0.07091162138689873,0.052643076683319134,-0.4047955392392245,-0.0925309776650233,0.11018079270728365,0.019848532119472326,0.9664842890442848,-0.10678709190971357,-0.03308767478680988,-0.11084917730642659,-0.06314338768372282,0.07866177816083379,-0.2061112851991031,0.21350071022224315,-0.14622177056499938,-0.17379276070109043,-0.012450712794217215,-0.050396941068834154,-0.23694291759078767,0.02681681418451199,0.0671830452603939,0.0614341332487329,1.0358079879238191,-0.025374509562332424,-0.1339638972418686,-0.0019263774408037118,-0.2551142391000443,-0.00018547545065546476,-0.23746909619432266,-0.003936374072117471,-0.11435327886681727,,,,,,,,,,,,,,,,,,,,
41,-1.0282588568506377,-1.5571653501262823,0.7087783183602488,11,-2.0088944195653555,01101101101,-0.9158064345257975,-0.6626505066414335,-0.18237293276475508,-0.5771380477598136,-0.13196866265072008,-0.5438771485229733,-0.0197988806338346,-0.19321256863883998,0.06886908602215994,-0.40886901636839784,-0.048632966274704995,-0.1289157077261344,0.22186856715941933,-0.2823546650505094,-0.13965415454481625,-0.2234477398548908,-0.042667297662147816,-0.4562941832757417,-0.12366347233060491,-0.17998306433561392,0.3579882661945925,-0.6877452529868607,-0.3462639132033956,0.04327156009323405,0.04812413216542152,0.09972864542021279,-0.07077737076677076,-0.23631821753486307,-0.034235557511814674,1.0786756551866734,0.07624642931654683,-0.25989192890744117,0.06953252303650889,-0.0890758555463141,0.9713481747299267,0.8660227750624231,-0.8766919910304845,0.17163164519925528,0.16217045790926482,-0.38136917387377817,-0.2527193094948292,0.06395507073011979,0.12312914393017672,-0.25072946143809854,0.15900454626894955,-0.008932431434642755,-0.28750449718987997,0.07168199781320896,0.05330323978809627,-0.4228838788954529,-0.09469800660480468,0.1286805119596433,0.020588226101124058,0.9362290215254708,-0.10744168527217787,-0.013241595692008588,-0.11059728911195724,-0.05663454763644664,0.08058053716933468,-0.2099471736275274,0.2102205487212954,-0.1408214071581946,-0.1755325535852068,-0.0147127935976521,-0.05041522519397376,-0.23871825497610885,0.027061452211840056,0.08416055314315,0.0639027445282081,1.028904850274025,-0.024248591590096534,-0.13320943294879206,-0.0028697718191890136,-0.24695983001299152,-0.0013151561377190636,-0.23674472251380727,-0.00045568566397011863,-0.10707042975670115,0.0013550301749819867,-0.12122742415934978,,,,,,,,,,,,,,,,,,
42,-1.03061275386293,-1.557614654129846,0.7075992723816522,11,-2.0088944195653555,01101101101,-0.9158412315971599,-0.6625892474092909,-0.1818495064326437,-0.5741047275175473,-0.13242455419848836,-0.5482802092853015,-0.016825483148027922,-0.1962901201691922,0.06977328368391622,-0.4086959839753267,-0.04545704533798527,-0.13066128089174395,0.22258553477032642,-0.28093572010585055,-0.1360039022480184,-0.22532341300246875,-0.040779726613802386,-0.4537055719879918,-0.12114408038310386,-0.17670208187652542,0.3571431769129026,-0.6869435530051348,-0.3458063113203925,0.043270329313410995,0.04956718703893929,0.09975827799115906,-0.06946580799952717,-0.23463370904068392,-0.03370200114322035,1.0786317589834915,0.07708825190805131,-0.2586390273867616,0.06860669567433014,-0.09054592907749144,0.9714036046594502,0.866140272353764,-0.8920302562585012,0.1734221504644657,0.16303584673976815,-0.3820012587514144,-0.25351769486555636,0.07077653218185334,0.12195641814986811,-0.25351645719135485,0.1586757598096245,-0.010088948146284065,-0.2902381981990199,0.06928284764558422,0.05524586000187553,-0.4277902977216649,-0.09919264879269785,0.1325858858381098,0.01770168775985828,0.9361071509169269,-0.10940377265624346,-0.010334704262663977,-0.11322934516483832,-0.05381776496310049,0.08307873155610954,-0.21081020186054614,0.2137800189849858,-0.1390371977328552,-0.17081169935789198,-0.013769416419935562,-0.050365835263122084,-0.23899832721003125,0.023911746594982602,0.08522871940588368,0.0662962658086724,1.0286198290801472,-0.020561059431027064,-0.1315065591482832,0.0021005992104750648,-0.24832676113498658,-0.006523583892269859,0.7679265079948472,-0.0005622400121513099,-0.08510097128281957,0.0007686031039410547,-0.11119959694785848,0.0003363482043689009,-0.16069639122348406,,,,,,,,,,,,,,,,
43,-1.0477778574742684,-1.5590190423327246,0.706059552682703,11,-2.0088944195653555,01101101101,-0.9133166782112102,-0.6636637156383052,-0.18214175914254851,-0.5737249856860157,-0.13244912229611674,-0.553483690307851,-0.01453274006534107,-0.2008162866565408,0.0656117229589887,-0.4086405019659664,-0.04536138564202163,-0.1283214713200236,0.22582172727234454,-0.2857265698281052,-0.13234970799106918,-0.22074703766257067,-0.03667882694770915,-0.44870651356390967,-0.12074086873677616,-0.17720751458853412,0.35603974692529067,-0.6917267865481819,-0.3436715920920217,0.03843381419610952,0.04699565473489603,0.10133299623439929,-0.0675269735356517,-0.22798456631330427,-0.03854242947454545,1.0758038017830478,0.06850596176601859,-0.26313628793636956,0.06690206406890882,-0.09948295379908685,0.97087260379039,0.8672117104999865,-0.8953453820409149,0.18372123014582992,0.16472781898536912,-0.3842778480890225,-0.24936334818686237,0.07723933920711648,0.1241074121665191,-0.2565482712145815,0.15552160212129565,-0.011702347004485279,-0.2882343712805423,0.0708282890765462,0.06561069618264621,-0.4317653361856634,-0.10166651666374171,0.13457760501926283,0.012131600369293874,0.9337732490755462,-0.10390051411279398,-0.019444697968458047,-0.11412426771752471,-0.06289891476226508,0.08384436750506279,-0.2146976631298393,0.22053943741819113,-0.13956084251479223,-0.16951307081035108,-0.03209335360476882,-0.0543541171984893,-0.22598319264536382,0.021245501813831776,0.06638944663270531,0.0737148642532342,1.0335678984417511,-0.02062864324893737,-0.11965635858238419,-0.0006452474523555513,0.7562879490131426,-0.015286137427573449,0.5151670506680583,-0.014162155573645986,0.8698258934118213,0.014262511562848258,1.178419958414295,0.014075091956015752,0.8331698092158589,0.00959298003647461,0.002265212175062056,,,,,,,,,,,,,,
44,-1.0568878925776497,-1.5564963083409638,0.7044993298898385,11,-2.0088944195653555,01101101101,-0.9061362774960281,-0.6662436489575417,-0.18143414324027685,-0.5743602512246213,-0.12992339213516363,-0.5593658413099555,-0.01940930637320682,-0.2004239011568082,0.07325683311174719,-0.38856603154286395,-0.0466279403788021,-0.13664094838541116,0.22693231060106953,-0.2933521437143596,-0.13070752163528668,-0.22026671454170338,-0.0335667971026022,-0.4519401850296711,-0.11898733585055422,-0.17516725413708692,0.35244861230120184,-0.6933338497753532,-0.3374604735369985,0.04014489309630033,0.04792802147191334,0.10325273908575493,-0.06994009270908855,-0.23375019451734416,-0.03825000960265634,1.0786661081329383,0.07156928909696461,-0.2636139940429367,0.06485796974109392,-0.09727193280186044,0.9731762508489619,0.8709363359683375,-0.9005465318623692,0.19284372180264736,0.1675654977812474,-0.3848028417498739,-0.2606651215930826,0.081465355869853,0.1128957944886598,-0.27084435440658555,0.167917922831934,-0.014268515206074965,-0.28645244777651147,0.07841487620838775,0.0741048510657526,-0.4327547584207422,-0.10825903939897573,0.15131795484316535,0.012411502806034471,0.9335773512827574,-0.09654409963430305,-0.012115446265279507,-0.12487950559671096,-0.04952999147400873,0.08968553414634782,-0.22701819094595266,0.215013405418977,-0.13525019707217312,-0.16433617300758369,-0.04034290424065543,-0.06182960618414802,-0.22418084955232048,0.022988658117457334,0.04081086375798422,0.07405015142364203,1.0050291970906018,-0.017618542450954136,-0.12456038309190291,0.00016397776588479617,0.7556978263629323,-0.024348196952835764,0.5234701860748174,-0.023402534547167075,0.8536799260037309,0.012818510412350218,1.1864334048953917,0.016266463672338496,0.8467471758189861,0.012852213300179167,-0.008719101261373603,0.0009093295823949793,-0.002242197573578269,,,,,,,,,,,,
45,-1.066504980953142,-1.5565637486164232,0.7058357120479269,11,-2.0088944195653555,01101101101,-0.9091866472323642,-0.6639646447518534,-0.17442659154548212,-0.5750889055498423,-0.12793685926074788,-0.5549197048320726,-0.019479362508605897,-0.2020074057449573,0.07298905276418974,-0.3582006406787619,-0.04218611813652619,-0.13011757478104524,0.22875237085478442,-0.29758058481236077,-0.12374807737385704,-0.22805974358631764,-0.028821634932777035,-0.4525228485977631,-0.11939488482777444,-0.17384011852990466,0.37072279794520585,-0.690068663217628,-0.35620970326903595,0.03742806017189627,0.048828526064461426,0.10444018150119405,-0.06860463111170265,-0.22733886989363666,-0.04056759105517687,1.0723097482879609,0.06942976388830006,-0.2583282108000159,0.06659022017894195,-0.11051084266489053,0.9706263204023697,0.8741167990093808,-0.9068260575811887,0.20054552735709677,0.17157641174349356,-0.371193768342555,-0.2657178574335274,0.07970465634144272,0.11905875479686914,-0.2832451302948567,0.16693577368343793,-0.008094469400327469,-0.2831333350810718,0.07656985282750488,0.09253046319034798,-0.45210164031744143,-0.12764309082948852,0.17404707854234294,0.014736867257319139,0.9409509383094814,-0.10062161337749444,-0.022973916092513987,-0.1215470161192584,-0.038451122361718805,0.09083529315526291,-0.22494126439677545,0.21678017636213243,-0.1564159758606593,-0.16167881686159438,-0.037709927566540374,-0.061434840605448855,-0.21223110208300128,0.015865989906450717,0.06110304793510246,0.07561835418000334,1.0114321538758415,-0.01079025007618612,-0.1396936437418354,-0.004860185550510422,0.7218085754985015,-0.02981934720032218,0.4964722268483636,-0.02724611155890555,0.8225316746344022,0.015258025052136057,1.1563828331305688,0.11307493766926585,0.8188114352495846,-0.07605158769138669,-0.05444749387515584,0.10748397993857021,-0.01983150046793502,-0.10746094879387079,-0.012722726902900942,,,,,,,,,,
46,-1.0745027528926991,-1.559345352842798,0.7010181552213134,11,-2.0088944195653555,01101101101,-0.9075483844183082,-0.6645920083892418,-0.17322476395509376,-0.5728263983945026,-0.1246919994458453,-0.5559153927567136,-0.019765886905368703,-0.19758679010524696,0.07347783809863097,-0.33345259871578614,-0.036063483485245566,-0.14171292642943764,0.23199939729856459,-0.29333430045367176,-0.12515489464792848,-0.23200158804875953,-0.02733775105398386,-0.45192659257053247,-0.11932520287029327,-0.17412514211305793,0.3701592907405225,-0.6891212777136045,-0.35534119613550663,0.0379618052823327,0.05020111039106848,0.10434129310553023,-0.06529557768492619,-0.23223233015980158,-0.03856944122820295,1.071824324487542,0.07145893503146655,-0.2513798060865303,0.06621936363802568,-0.09983068657726614,0.9693349214749198,0.864156447461391,-0.9132634065136404,0.205714163070096,0.17052674397654247,-0.3729228418063183,-0.2676004889578482,0.08649297243550094,0.1220113553520319,-0.29493369934434926,0.16178912142007604,0.0004754559374617039,-0.2869408677594034,0.07534616979818759,0.0990873968292068,-0.46010585814567095,-0.13094736294238846,0.17489329197142722,0.017372034872925123,0.9544013028869708,-0.11982626852158028,-0.022396668825041134,-0.10269330208440718,-0.03764232075107672,0.091542129396711,-0.23716598979494982,0.21566155483989277,-0.1339449092146154,-0.14697907697874438,-0.045645889035925084,-0.057830654920680076,-0.19746090946722836,0.002708657928588983,0.018216097423053444,0.07242953789124768,1.0358556506175693,-0.007274734354507546,-0.23772553539952931,-0.005709151523178247,0.7267320894719845,-0.03051960642831419,0.5238107318379027,-0.03373262186742023,0.7982861048828281,0.014778764715039389,1.143193329113059,0.2053519327938283,0.8179692330097725,-0.16659852161442812,-0.05209999149969033,0.10668748524315465,-0.018474590592784394,-0.10673387862320144,-0.013501481765816413,0.0010288962435369678,-0.11219493387152789,,,,,,,,
47,-1.0886745894264926,-1.561522278357474,0.6974959167160156,11,-2.0088944195653555,01101101101,-0.9068799809614202,-0.662462556809546,-0.17667441651207091,-0.5698005984350353,-0.11761459672005015,-0.5484294756998168,-0.015129874227707035,-0.18150759941041622,0.07692894355547297,-0.32411886106217325,-0.04597162857690283,-0.1681540060969691,0.24894960744905809,-0.279581282868723,-0.12994956786772832,-0.23552592658308846,-0.02080930129929997,-0.4577247042260018,-0.11754561814413567,-0.16931578576406664,0.3731206324005192,-0.6888663695492061,-0.3535932587752888,0.034328531117177305,0.04689358797864359,0.10614357576517656,-0.06232751255810508,-0.23147905950210707,-0.03722833544875418,1.0682702083206526,0.06887074135836524,-0.2486366277869588,0.06995810298811386,-0.08989329193957273,0.9790281682594648,0.8671943070359375,-0.9129392325230968,0.21590472494028504,0.16870304708873948,-0.3590528992531003,-0.28038936606121173,0.09314834871003369,0.11687915944034186,-0.30952124274125764,0.1680820214566675,-0.003207005282387553,-0.2891112286234012,0.07435840599041023,0.10701454459584382,-0.48899769964014417,-0.13157444454915235,0.17475767315042057,0.017604774906402495,0.9851574245375453,-0.11839435022161515,-0.01632179024613909,-0.1042559091755134,-0.03590758861243104,0.09132424091086493,-0.24396164704593065,0.21298508015521914,-0.1400438535274671,-0.15753961228992278,-0.050508339077803346,-0.05914617185528939,-0.19002429875989577,0.005520095810106075,0.016721069230728847,0.0788311562461114,1.039642591854025,-0.006004809422800264,-0.2304934318387412,-0.011881565953332677,0.7010261239630468,-0.033366573953759554,0.5220789942673891,-0.04256518415372055,0.8911132733023309,0.008682838483168417,1.0430187266339241,0.2898584347547515,0.8175629487523457,-0.2530115406605056,-0.052413375121214634,0.12416099637176335,-0.1425620012284049,-0.11625787213056882,-0.0007209561082331948,0.07140421894475799,-0.256135098273077,-0.07499647320903365,0.03151604774858743,,,,,,
