p,qaoa_energy,beta01,gamma01,u01,v01,num_qubits,min_energy,opt_var_assignment,beta02,gamma02,beta03,gamma03,beta04,gamma04,beta05,gamma05,beta06,gamma06,beta07,gamma07,beta08,gamma08,beta09,gamma09,beta10,gamma10,beta11,gamma11,beta12,gamma12,beta13,gamma13,beta14,gamma14,beta15,gamma15,beta16,gamma16,beta17,gamma17,beta18,gamma18,beta19,gamma19,beta20,gamma20,beta21,gamma21,beta22,gamma22,beta23,gamma23,beta24,gamma24,beta25,gamma25,beta26,gamma26,beta27,gamma27,beta28,gamma28,beta29,gamma29,beta30,gamma30,beta31,gamma31,beta32,gamma32,beta33,gamma33,beta34,gamma34,beta35,gamma35,beta36,gamma36,beta37,gamma37,beta38,gamma38,beta39,gamma39,beta40,gamma40,beta41,gamma41,beta42,gamma42,beta43,gamma43,beta44,gamma44,beta45,gamma45,beta46,gamma46,beta47,gamma47,beta48,gamma48,beta49,gamma49,beta50,gamma50
32,-1.8653331298905647,0.4301472033579226,-0.01810173320081705,-0.7376050136983497,0.4302767946839386,11,-2.0088944195653555,01101101101,0.42911094106858816,-0.054261590941645815,0.42704091293654006,-0.0902907277571421,0.4239421058408615,-0.12610234630093772,0.4198219850792695,-0.16161017324723337,0.41469047638355855,-0.19672866713079704,0.4085599420076438,-0.23137322442384656,0.4014451509458082,-0.265460383353358,0.39336324335290174,-0.2989080249677878,0.3843336892522073,-0.3316355709688193,0.3743782416304489,-0.36356417783154166,0.36352088403294175,-0.3946169267454068,0.3517877727851303,-0.4247190089183818,0.33920717397970973,-0.45379790579788076,0.3258093953811326,-0.48178356377431053,0.3116267134115498,-0.5086085629463517,0.2966932953940821,-0.5342082795414066,0.28104511724074666,-0.5585210415999271,0.2647198767833333,-0.581488277548568,0.24775690295602626,-0.6030546573042366,0.23019706104855636,-0.6231682255691098,0.2120826542581393,-0.6417805269954969,0.1934573217773678,-0.6588467229190169,0.1743659336635745,-0.6743256993788678,0.15485448274293373,-0.6881801661649593,0.1349699738097144,-0.700376746653296,0.11476031038761397,-0.7108860582131871,0.09427417932597378,-0.7196827829925779,0.07356093350889453,-0.7267457289109728,0.05267047295981547,-0.7320578807130133,0.03165312462798765,-0.7356064409597187,0.010559521146444737,-0.7373828608586378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,-1.8707640406693935,0.420093570226034,-0.01737224731662694,-0.7299969790341522,0.42021257665775735,11,-2.0088944195653555,01101101101,0.41914192317310334,-0.05207738822220355,0.41724078485389904,-0.08666455709359902,0.41439446195818463,-0.1210554028689107,0.4106094023227932,-0.15517201922119278,0.40589418032520275,-0.1889371210413441,0.40025947745981333,-0.22227421951373785,0.39371805814092703,-0.25510779538799017,0.38628474078724395,-0.28736347005435214,0.3779763642533776,-0.3189681740351832,0.3688117496844334,-0.34985031251082,0.3588116578800616,-0.37993992750486993,0.34799874226456834,-0.40916885636152883,0.336397497569624,-0.4374708861559193,0.3240342043458171,-0.46478190368766276,0.31093686942875476,-0.49104004071789814,0.29713516249457217,-0.5161858141207429,0.2826603488485733,-0.5401622606317042,0.2675452185992582,-0.5629150658877949,0.25182401237818136,-0.5843926874670344,0.23553234377390744,-0.6045464716486127,0.21870711865577955,-0.6233307636292168,0.20138645157025442,-0.6407030109458438,0.1836095793991959,-0.6566238598708164,0.16541677247571773,-0.6710572445606334,0.14684924335892643,-0.6839704687567056,0.12794905347421995,-0.6953342798528971,0.10875901783063055,-0.7051229351620871,0.08932260803105867,-0.713314260231636,0.06968385379511004,-0.7198896990756529,0.04988724321761998,-0.7248343562102715,0.02997762198880922,-0.728137030396712,0.01000009180437191,-0.7297902400156899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,-1.87502101070793,0.41212774294671295,-0.016763359999608665,-0.7257528198436506,0.41223772462772074,11,-2.0088944195653555,01101101101,0.4112482415739819,-0.05025430614379303,0.40949111572877195,-0.08363800706608797,0.4068601152061876,-0.11684322026634515,0.40336085469393385,-0.14979908414621007,0.3990008017902902,-0.1824352692313439,0.3937892610678787,-0.21468212825806618,0.3877373542172382,-0.24647084480412504,0.38085799631257516,-0.27773358014641086,0.3731658682503453,-0.30840361803220956,0.36467738541948,-0.3384155070550485,0.35541066267011967,-0.3677052003312962,0.3453854756556103,-0.39621019217943954,0.3346232186302627,-0.4238696515103582,0.32314685879293564,-0.4506245516439346,0.31098088727387607,-0.47641779627496356,0.29815126686941285,-0.5011943413195454,0.28468537663604127,-0.5249013123819346,0.27061195346213607,-0.5474881175911652,0.25596103074198434,-0.5689065555666529,0.24076387428300777,-0.5891109182823704,0.22505291558295432,-0.6080580886100783,0.20886168261944776,-0.6257076323334497,0.19222472829959353,-0.642021884436726,0.17517755672233382,-0.6569660294837575,0.15775654741091089,-0.6705081759159001,0.13999887767713162,-0.6826194241102074,0.12194244328311021,-0.6932739280526837,0.10362577756980228,-0.7024489504949789,0.08508796922491271,-0.7101249114768239,0.06636857886566726,-0.7162854301106513,0.04750755461446102,-0.7209173595392355,0.028545146847552265,-0.7240108149917487,0.009521822298730795,-0.7255591948783598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,-1.8816904540573143,0.44437430368281816,-0.016762789207893668,-0.7470693098525291,0.44448620977897824,11,-2.0088944195653555,01101101101,0.4434793929737017,-0.050254609597052365,0.4416913737865399,-0.08364522389049818,0.4390138469540213,-0.11686738783475487,0.43545220465885437,-0.1498541964129316,0.43101361957462886,-0.18253921858252312,0.4257070304210057,-0.21485663105868869,0.4195431239623257,-0.24674135087358737,0.41253431348588754,-0.2781291664448144,0.4046947138032399,-0.3089568668889823,0.39604011282482915,-0.33916236932002797,0.3865879397652487,-0.368684843875883,0.37635723004312044,-0.3974648362217204,0.3653685869462952,-0.4254443872830727,0.35364414013957224,-0.4525671499676946,0.34120750109850023,-0.4787785026411078,0.3280837155590072,-0.5040256591273038,0.31429921307862185,-0.5282577750130772,0.2998817538108618,-0.5514260500419081,0.28486037259997893,-0.5734838263911832,0.26926532050864715,-0.5943866826348418,0.2531280038963477,-0.6140925232022165,0.23648092117114128,-0.6325616631529095,0.21935759734219903,-0.6497569080969819,0.20179251650489535,-0.6656436290995047,0.18382105239442953,-0.6801898324186254,0.16547939714783028,-0.6933662239367063,0.14680448841780858,-0.7051462681547789,0.1278339349852407,-0.7155062416315071,0.10860594102008872,-0.7244252807590413,0.0891592291432865,-0.731885423779548,0.06953296244453432,-0.7378716469577993,0.049766665613048315,-0.7423718948369763,0.02990014534009635,-0.7453771045167553,0.009973410153619383,-0.7468812239047824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,-1.8900278204654368,0.4387416694705115,-0.016238293715688135,-0.7443676045031618,0.4388461029591032,11,-2.0088944195653555,01101101101,0.43790649976622803,-0.048683970632052306,0.4362377501506612,-0.08103697484330237,0.4337385971835497,-0.11323572056709764,0.43041379814460895,-0.14521891566089581,0.4262696819777789,-0.1769256782950299,0.4213141372437193,-0.20829565284473123,0.4155565971034861,-0.23926912478049153,0.4090080213619734,-0.2697871343380642,0.40168087560530197,-0.299791588751726,0.39358910747186726,-0.32922537283715897,0.38474812010221743,-0.3580324577134494,0.37517474281829943,-0.38615800745724765,0.3648871990878884,-0.41354848348606466,0.3539050718351809,-0.4401517464720067,0.3422492661635858,-0.46591715559194946,0.32994196956167166,-0.4907956649252229,0.31700660966802124,-0.5147399168153092,0.3034678096753899,-0.5377043320178331,0.28935134145905866,-0.5596451964632446,0.274684076518605,-0.5805207444690349,0.2594939348264758,-0.6002912382430863,0.24380983168073334,-0.6189190435268183,0.22766162266314158,-0.6363687012341381,0.21108004680736994,-0.6526069949498262,0.19409666808549472,-0.6676030141588706,0.1767438153241854,-0.6813282130863886,0.15905452066494474,-0.6937564650361325,0.14106245668555037,-0.7048641121241405,0.12280187230238913,-0.7146300103128629,0.10430752757569808,-0.7230355696600403,0.08561462754181445,-0.7300647897057144,0.06675875519838764,-0.7357042899300136,0.04777580377012112,-0.7399433352237328,0.02870190838397889,-0.7427738563232237,0.009573377283918025,-0.7441904651706971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,-1.8969386703119016,0.4322050267472524,-0.01573210133068099,-0.7411928012512956,0.43230241748952086,11,-2.0088944195653555,01101101101,0.4314261640760408,-0.04716795368210234,0.4298698422967948,-0.0785188061928765,0.42753886600655355,-0.10972816250775497,0.42443743578214416,-0.14073978125719805,0.42057114061045864,-0.17149777740812416,0.4159469478167218,-0.2019467229725169,0.41057319050890007,-0.23203174689240538,0.40445955256087773,-0.2616986339212203,0.3976170511614619,-0.2908939223233316,0.3900580169606633,-0.3195650002157109,0.3817960718490318,-0.3476602003780994,0.37284610441008853,-0.3751288933608323,0.36322424309009266,-0.401921578722528,0.3529478271334904,-0.4279899742332302,0.3420353753364251,-0.45328710288224905,0.3305065526746146,-0.4777673775339102,0.3183821348657361,-0.5013866830786536,0.3056839709301782,-0.524102455931444,0.29243494381762974,-0.5458737607342272,0.27865892917045776,-0.566661364124212,0.2643807522981861,-0.5864278054350422,0.2496261434406096,-0.6051374642034498,0.23442169140016308,-0.622756624359736,0.21879479562710208,-0.6392535349864088,0.20277361684384132,-0.6545984675354827,0.18638702629743,-0.6687637694013301,0.169664553731613,-0.6817239137525469,0.15263633417223632,-0.6934555455330281,0.13533305362189413,-0.7039375235493568,0.11778589376167799,-0.7131509585686638,0.10002647575967967,-0.7210792473583025,0.08208680328750931,-0.7277081026059959,0.06399920484751552,-0.733025578666539,0.0457962755146394,-0.7370220930886591,0.027510818197886453,-0.7396904438832407,0.009175784527267288,-0.7410258225017964,,,,,,,,,,,,,,,,,,,,,,,,,,
38,-1.9024191034060953,0.4232641945611429,-0.015258847465184631,-0.738322949201531,0.4233546159998724,11,-2.0088944195653555,01101101101,0.4225410547848236,-0.04575047291062072,0.42109601070436253,-0.07616393444053499,0.418931531153331,-0.10644727116607729,0.4160513141087338,-0.13654874451444296,0.412460280373077,-0.16641692662335655,0.40816456516725985,-0.19600078820471192,0.4031715076486526,-0.22524978572725468,0.39748963837226925,-0.25411394776935803,0.3911286647164574,-0.2825439603943577,0.3840994542980052,-0.31049125140258615,0.3764140164050004,-0.33790807331616035,0.36808548147916287,-0.3647475849547476,0.3591280786827057,-0.39096393146293507,0.34955711158804975,-0.4165123226524825,0.3393889320319271,-0.44134910952560663,0.3286409121785421,-0.46543185884856203,0.31733141483952065,-0.4887194256481088,0.305479762101354,-0.5111720235070097,0.29310620231393875,-0.532751292538456,0.28023187549661,-0.5534203649232914,0.26687877722077347,-0.5731439278980618,0.25306972103084047,-0.5918882840862797,0.2388282994676702,-0.6096214090698265,0.2241788437611091,-0.6263130061021341,0.2091463822604931,-0.6419345578696676,0.19375659767413228,-0.6564593752132776,0.17803578319083505,-0.6698626427261805,0.16201079755843575,-0.682121461150665,0.1457090191960745,-0.6932148865010895,0.12915829941862753,-0.7031239658463309,0.11238691485320289,-0.7118317696905485,0.09542351912899742,-0.7193234208969445,0.0782970939230516,-0.7255861201051022,0.06103689944554077,-0.7306091675984788,0.04367242444919692,-0.7343839815846914,0.026233335848269347,-0.7369041128573657,0.008749428033098592,-0.7381652558144962,,,,,,,,,,,,,,,,,,,,,,,,
39,-1.9066406539551553,0.4149508312430808,-0.01469598674829637,-0.7297982755757992,0.41503498830898294,11,-2.0088944195653555,01101101101,0.41427777947738714,-0.044064123300642195,0.41293276763842496,-0.07336078768385802,0.4109179773403157,-0.10253846060118045,0.40823667658029067,-0.1315498157604389,0.40489321443798765,-0.1603477966374745,0.4008930140212282,-0.1888856928019947,0.3962425636697163,-0.21711721568206122,0.3909494064309283,-0.24499657364432414,0.3850221278252618,-0.27247854626821755,0.37847034192029044,-0.2995185576936479,0.37130467573671105,-0.32607274892320137,0.3635367520112772,-0.35209804896159896,0.35517917034467783,-0.3775522446770072,0.3462454867649386,-0.4023940492708934,0.33675019173949516,-0.42658316924536305,0.32670868667160163,-0.4500803697593617,0.31613725891919864,-0.47284753826772935,0.3050530553767588,-0.4948477463398892,0.29347405466296134,-0.5160453095578963,0.2814190379593068,-0.5364058453966948,0.26890755854697196,-0.5558963289926985,0.2559599100913165,-0.5744851467102404,0.24259709372548321,-0.5921421474190062,0.2288407839864834,-0.608838691399277,0.21471329365901856,-0.6245476967956599,0.20023753758406224,-0.6392436835439562,0.18543699549090378,-0.6529028146999192,0.17033567391294185,-0.6655029351028642,0.15495806724899924,-0.6770236073114209,0.13932911803331868,-0.6874461447531374,0.12347417647868089,-0.6967536420341695,0.10741895935826691,-0.704931002359891,0.09118950829295755,-0.7119649620219505,0.0748121475117297,-0.7178441119120534,0.0583134411536602,-0.7225589160275793,0.04172015018079534,-0.726101726939011,0.025059188971772454,-0.7284667981940948,0.008357581666599381,-0.7296502936386061,,,,,,,,,,,,,,,,,,,,,,
40,-1.9099845115244785,0.40669884132743583,-0.014083246833570156,-0.7172999608612325,0.40677725151434474,11,-2.0088944195653555,01101101101,0.406071741192229,-0.0422280251548672,0.4048185078647707,-0.07030769092212376,0.4029410737400156,-0.09827894732598147,0.4004423336853051,-0.12609866471646275,0.39732614057669113,-0.15372394710576476,0.3935972993580811,-0.18111219831076367,0.3892615596323622,-0.20822118763324132,0.3843256067959309,-0.23500911497656132,0.378797051730296,-0.2614346752983879,0.3726844190666509,-0.2874571223000676,0.36599713404151063,-0.31303633125446845,0.3587455079636797,-0.33813286087540084,0.350940722314962,-0.36270801413322196,0.3425948115091256,-0.38672389792285095,0.3337206443357093,-0.4101434814921902,0.32433190411728224,-0.4329306535408611,0.31444306761075175,-0.45505027790121166,0.3040693826852536,-0.47646824771574064,0.2932268448110432,-0.4971515380273995,0.28193217239564,-0.5170682567016822,0.27020278100525413,-0.536187693601986,0.2580567565112464,-0.5544803679424148,0.24551282720302514,-0.5719180737450152,0.2325903349103816,-0.5884739233313494,0.21930920517979002,-0.6041223887813477,0.20568991655065935,-0.6188393412955095,0.19175346897891019,-0.6326020883997637,0.17752135145656434,-0.6453894089356195,0.1630155088772766,-0.6571815857816541,0.1482583081988998,-0.667960436255885,0.1332725039552569,-0.6777093401521475,0.11808120317029888,-0.6864132653672481,0.10270782972874852,-0.6940587910793784,0.08717608825816833,-0.7006341284420491,0.07150992757814306,-0.7061291387616367,0.055733503772935324,-0.7105353491305149,0.039871142944554565,-0.7138459654916631,0.023947303703671305,-0.7160558831146111,0.007986539456212272,-0.717161694466562,,,,,,,,,,,,,,,,,,,,
41,-1.9125634615305236,0.3978392082112837,-0.013594968074053545,-0.7097390955924091,0.3979122137891558,11,-2.0088944195653555,01101101101,0.39725532431185134,-0.04076495173178789,0.39608841344312573,-0.06787510720143504,0.3943401882077217,-0.09488564659139674,0.39201321436724984,-0.12175692821040865,0.3891109070767068,-0.1484495147471886,0.38563752587226496,-0.17492423115012948,0.38159816841981553,-0.2011422221220895,0.3769987630334408,-0.22706500914589872,0.37184605997479586,-0.25265454695688944,0.36614762154616864,-0.27787327937956824,0.35991181099175856,-0.30268419444648237,0.3531477802234623,-0.32705087871838634,0.34586545638918154,-0.35093757072598464,0.3380755273033634,-0.3743092134548202,0.32978942576116005,-0.3971315057962766,0.32101931275922474,-0.4193709528891857,0.311778059647772,-0.44099491527815493,0.3020792292400969,-0.4619716568164691,0.2919370559072756,-0.482270391243262,0.28136642468726336,-0.5018613273665997,0.27038284943904833,-0.520715712786163,0.25900245007392464,-0.5388058760913594,0.24724192889729918,-0.5561052674729343,0.23511854609575553,-0.5725884976884771,0.22265009440534972,-0.588231375324636,0.2098548729983167,-0.6030109423013522,0.19675166062651164,-0.6169055075660091,0.183359688061002,-0.6298946789280429,0.1696986098682589,-0.6419593929872939,0.1557884755643707,-0.6530819431121758,0.14164970018961337,-0.6632460054265987,0.12730303434656368,-0.6724366627675084,0.11276953374572814,-0.6806404265778803,0.09807052830338471,-0.6878452567030371,0.08322759083698918,-0.6940405790612355,0.06826250540409043,-0.6992173011625901,0.05319723533122219,-0.7033678254535556,0.0380538909796928,-0.7064860604673843,0.022854697295580793,-0.7085674297641938,0.007621961191561883,-0.7096088786475239,,,,,,,,,,,,,,,,,,
42,-1.914459157081322,0.389339276850436,-0.013131128202277681,-0.7022419380768886,0.3894073604779118,11,-2.0088944195653555,01101101101,0.3887947506664563,-0.03937501953668349,0.3877064598676028,-0.06556384134585186,0.38607592652696465,-0.09166096619440552,0.38390543109285674,-0.11762989489345818,0.3811980091994068,-0.14343430754803047,0.37795744742094645,-0.16903811435370739,0.374188277976145,-0.19440550607149285,0.36989577238929133,-0.21950100411026888,0.36508593411759077,-0.24428951014681283,0.35976549015478726,-0.2687363552139766,0.3539418816228544,-0.2928073481883715,0.3476232533649134,-0.3164688236097468,0.3408184425539335,-0.33968768876517924,0.3335369663331469,-0.3624314699722248,0.3257890085054625,-0.3846683579962998,0.3175854052904976,-0.406367252538772,0.3089376301691445,-0.4274978057335402,0.2998577778368697,-0.4480304645912693,0.29035854728818944,-0.46793651233191774,0.2804532240559768,-0.4871881085477519,0.2701556616304431,-0.5057583281406729,0.25948026208377895,-0.5236211989794012,0.24844195592755433,-0.5407517382238508,0.2370561812310476,-0.5571259872658904,0.22533886202971007,-0.5727210452376222,0.21330638605396235,-0.5875151010403181,0.2009755818094716,-0.6014874638492119,0.18836369504096445,-0.6146185920514896,0.17548836461249392,-0.6268901205770016,0.16236759783789273,-0.6382848865834742,0.1490197452959171,-0.6487869534602958,0.13546347516530247,-0.658381633117309,0.12171774711562777,-0.6670555065274316,0.10780178579050341,-0.6747964424943802,0.0937350539201682,-0.6815936146192448,0.079537225101102,-0.6874375164421866,0.06522815628072111,-0.6923199747380822,0.05082785998564288,-0.6962341609475168,0.036356476332356766,-0.6991746007271435,0.0218342448594509,-0.7011371816060467,0.00728147622078665,-0.702119158737404,,,,,,,,,,,,,,,,
43,-1.9216137711373351,0.4370661002547162,-0.013403017416246004,-0.7338466298762445,0.43713901583765413,11,-2.0088944195653555,01101101101,0.43648292153252005,-0.040191168558912096,0.43531734222539775,-0.06692569249436606,0.43357091756961796,-0.09357091726017908,0.4312459778252914,-0.12009129004609546,0.4283456251670971,-0.14645142463226316,0.42487372954504077,-0.1726161486051826,0.42083492352076746,-0.19855055028837207,0.41623459608632,-0.22422002532513205,0.4110788854735891,-0.24959032285125077,0.4053746709640504,-0.2746275911960441,0.39912956370971703,-0.29929842305075,0.3923518965775544,-0.3235699000440099,0.38505071303090904,-0.3474096366649579,0.3772357550627856,-0.37078582347531486,0.3689174501970739,-0.39366726955282444,0.36010689757507,-0.41602344410940284,0.3508158531458555,-0.43782451722846877,0.34105671398029686,-0.4590413996670985,0.3308425017295926,-0.4796457816698972,0.32018684525044255,-0.49961017074279807,0.30910396242001886,-0.5189079283363869,0.2976086411650072,-0.5375133053898051,0.2857162197300274,-0.5554014766878056,0.27344256621176377,-0.5725485739851186,0.26080405738611195,-0.5889317178539291,0.24781755685659343,-0.6045290482119716,0.23450039255319446,-0.6193197534905096,0.22087033361165295,-0.6332840984032794,0.20694556666404174,-0.6464034502793465,0.19274467157228728,-0.6586603039247403,0.17828659663699853,-0.67003830497969,0.1635906333146881,-0.6805222717403011,0.14867639047711875,-0.6900982154155524,0.13356376824712182,-0.6987533587925849,0.11827293144579891,-0.706476153285379,0.10282428268653475,-0.7132562943440705,0.087238435151724,-0.7190847352043446,0.07153618508853467,-0.7239536989585634,0.055738484060408086,-0.7278566889325195,0.039866410991318935,-0.7307884973539686,0.023941144040098557,-0.7327452123013776,0.007983932342348999,-0.7337242229236143,,,,,,,,,,,,,,
44,-1.927101702188378,0.4286093099500992,-0.013021944960369567,-0.729561173643703,0.4286776009818862,11,-2.0088944195653555,01101101101,0.42806311223914983,-0.03904924038265907,0.4269714128635863,-0.06502677345677699,0.4253356030290734,-0.09092143974758436,0.4231577673277243,-0.11670024042111865,0.4204406810816034,-0.14233032429661446,0.41718780680599815,-0.1677790297103626,0.4134032897969676,-0.19301392613805812,0.40909195284878935,-0.2180028555225968,0.40425929010803824,-0.2427139732546523,0.39891146007212797,-0.2671157887538129,0.3930552777412378,-0.2911772055985608,0.38669820593362614,-0.3148675611539562,0.37984834577539806,-0.33815666564652574,0.37251442637684545,-0.3610148406365609,0.36470579370851736,-0.3834129568387984,0.3564323986911941,-0.4053224712432865,0.34770478451494496,-0.4267154634891328,0.33853407320342754,-0.4475646714447788,0.3289319514405515,-0.46784352594946155,0.31891065567756827,-0.4875261846715893,0.3084829565395656,-0.5065875650408822,0.2976621425512383,-0.5250033762123129,0.28646200320267384,-0.542750150021113,0.27489681137673444,-0.5598052708893984,0.26298130516042695,-0.5761470046463008,0.25073066906344127,-0.5917545262248797,0.23816051466779053,-0.6066079462005196,0.2252868607332119,-0.6206883361369916,0.21212611278368113,-0.6339777527078816,0.1986950422010546,-0.6464592605626445,0.18501076485248105,-0.6581169539081463,0.17109071927881903,-0.6689359767781896,0.1569526444718543,-0.6789025419651967,0.14261455726863995,-0.6880039485899171,0.12809472939176353,-0.6962285982867775,0.11341166416480104,-0.7035660099842441,0.09858407293263124,-0.7100068332613614,0.08363085121665755,-0.7155428602634492,0.06857105463532545,-0.7201670361617716,0.05342387462062006,-0.7238734681438489,0.03820861396148986,-0.7266574329229547,0.022944662205363522,-0.7285153827572309,0.007651470949104585,-0.7294449499707476,,,,,,,,,,,,
45,-1.9315948900244146,0.4203732100800161,-0.012523865787757878,-0.7176010845703885,0.42043724470881877,11,-2.0088944195653555,01101101101,0.4198610500770626,-0.037556338961964884,0.41883735405922706,-0.06254305552225728,0.41730336924241884,-0.08745357300341496,0.4152609645508451,-0.1122575417770582,0.41271262834001404,-0.1369247420279948,0.40966146536505754,-0.16142512057240993,0.406111192998065,-0.18572882747304117,0.40206613669903796,-0.2098062524067293,0.39753122474598374,-0.23362806074003536,0.3925119822305674,-0.2571652292689737,0.387014524326639,-0.28038908157931464,0.381045548839836,-0.30327132298437826,0.3746123280473389,-0.3257840749977514,0.36772269983772155,-0.34789990929892967,0.36038505816169164,-0.36959188115049985,0.35260834280535425,-0.39083356222615323,0.34440202849846,-0.41159907280952907,0.33577611337090596,-0.4318631133246633,0.3267411067715547,-0.4516009951596243,0.31730801646421153,-0.4707886707457839,0.30748833521635965,-0.48940276285607526,0.2972940267969937,-0.5074205930865429,0.28673751140060977,-0.524820209486485,0.27583165051511194,-0.5415804133035238,0.26458973125207,-0.5576807848110196,0.2530254501584212,-0.5731017081863627,0.241152896529337,-0.5878243954098314,0.2289865352425879,-0.6018309091548999,0.21654118913531747,-0.615104184642108,0.20383202094469874,-0.6276280504298659,0.19087451483447476,-0.6393872481168649,0.17768445752989007,-0.6503674509320887,0.16427791908399778,-0.6605552811897777,0.15067123329877508,-0.6699383265880778,0.13688097782490213,-0.6785051553315186,0.12292395396444779,-0.686245330058895,0.10881716620107132,-0.6931494205595841,0.09457780148267833,-0.6992090152628045,0.08022320828177229,-0.7044167314858194,0.06577087545901272,-0.7087662244285982,0.05123841095573307,-0.712252194903978,0.036643520341376,-0.7148703957939073,0.022003985241984665,-0.7166176372239047,0.007337641676029875,-0.7174917904494296,,,,,,,,,,
46,-1.9351015262050746,0.4135411333872829,-0.012128954830677358,-0.7104155025092133,0.41360141787465143,11,-2.0088944195653555,01101101101,0.41305896292441924,-0.036372722673256135,0.412095184187883,-0.060574081548235195,0.4106509209005689,-0.0847048137537499,0.40872785700886466,-0.10873678393547294,0.4063282347192449,-0.13264197189117888,0.40345485188395847,-0.1563925052410466,0.40011105873885816,-0.1799606919256072,0.39630075399717557,-0.20331905249344687,0.3920283803037955,-0.22644035214101776,0.38729891905533115,-0.2492976324672009,0.3821178845920383,-0.2718642429055958,0.3764913177683414,-0.29411387179788867,0.37042577890946726,-0.3160205770720692,0.3639283401623996,-0.3375588164897263,0.35700657725007173,-0.35870347742715475,0.34966856063841273,-0.37942990615555194,0.3419228461265451,-0.3997139365861624,0.33377846487110574,-0.41953191844685633,0.32524491285632107,-0.43886074485728904,0.3163321398221146,-0.45767787927048975,0.30705053766315493,-0.47596138174946717,0.29741092831237154,-0.49368993454819504,0.2874245511230651,-0.5108428669671496,0.2771030497643242,-0.5274001794544213,0.26645845864502815,-0.5433425669242977,0.25550318888226453,-0.5586514412661292,0.24425001383052175,-0.5733089530172351,0.2327120541885293,-0.5872980121745784,0.2209027627011096,-0.6006023081209453,0.20883590847387956,-0.6132063286423948,0.19652556091908957,-0.6250953780148061,0.1839860733513178,-0.6362555941384361,0.17123206625214746,-0.6466739647005074,0.15827841022333944,-0.6563383423469829,0.1451402086483759,-0.6652374588458368,0.13183278008259078,-0.6733609382253101,0.11837164039241911,-0.6806993088718285,0.10477248466459135,-0.6872440145734808,0.09105116890636386,-0.6929874244961789,0.0772236915581242,-0.6979228420808691,0.06330617483992465,-0.7020445128514204,0.049314845953695764,-0.7053476311240866,0.03526601816305373,-0.7078283456107177,0.021176071772765283,-0.7094837639091908,0.007061435030045297,-0.7103119558758203,,,,,,,,
47,-1.937697233098027,0.40501684187197035,-0.011773308625937586,-0.7045741703096214,0.40507339773940354,11,-2.0088944195653555,01101101101,0.4045644896832522,-0.0353067765927095,0.4036602905255538,-0.05880081139024707,0.4023052542740845,-0.0822291731762431,0.40050089433162367,-0.10556569545677356,0.3982492259382423,-0.1287843143109361,0.39555276392053706,-0.1518590975009276,0.3924145198828893,-0.17476427343504847,0.38883799884388687,-0.19747425995128567,0.38482719532166515,-0.219963692889327,0.3803865888725394,-0.24220745441909533,0.37552113908791135,-0.2641807010941629,0.37023628005503767,-0.285858891598715,0.3645379142878474,-0.3072178141570713,0.35843240613458566,-0.3282336135751531,0.35192657466964866,-0.348882817883695,0.3450276860775461,-0.36914236455344246,0.33774344553749946,-0.38898962625305744,0.33008198861773896,-0.4084024361209636,0.3220518721891108,-0.4273591125229051,0.3136620648681431,-0.4458384832675687,0.30492193700024406,-0.4638199092532225,0.2958412501942212,-0.4812833075189622,0.28643014641980774,-0.4982091736748188,0.2766991366803757,-0.5145786036856754,0.26665908927348453,-0.5303733149846661,0.2563212176523782,-0.5455756668924717,0.24569706790198706,-0.5601686803197108,0.23479850584342288,-0.5741360567304179,0.22363770378136863,-0.5874621963454313,0.21222712690916615,-0.6001322155653577,0.20057951938678387,-0.6121319635936552,0.18870789010721428,-0.6234480382412704,0.1766254981671986,-0.6340678008951744,0.1643458380585061,-0.6439793906340835,0.15188262459630653,-0.6531717374755953,0.13924977760146948,-0.661634574739949,0.12646140635389916,-0.6693584505165981,0.1135317938342668,-0.6763347382207892,0.10047538077174181,-0.6825556462283577,0.08730674951553799,-0.6880142265779794,0.07404060774828806,-0.6927043827311571,0.06069177205943686,-0.6966208763812776,0.047275151396999525,-0.6997593333041316,0.03380573041616644,-0.702116248243366,0.02029855274335419,-0.7036889888254071,0.006768704174391578,-0.704475798499487,,,,,,
